Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
1,Document,,,,,,,,,Draft,Blank board,,,
11,SparkFrameBlock,,2,,,,,,,,Inverter Analysis,,,
12,Rectangle,,2,11,,,,,,,Inverter Analysis,,COLUMN,ROW
13,Rectangle,,2,11,,,,,,,Late Start/Early Shutdown compared to others,,COLUMN,ROW
14,Diamond,,2,11,,,,,,,Communication errors,,COLUMN,ROW
26,Diamond,,2,11,,,,,,,Underperformace,,COLUMN,ROW
27,Diamond,,2,11,,,,,,,Check insulation resistance < 50kOhm,,,
28,Rectangle,,2,11,,,,,,,Check other parameters,,,
29,Rectangle,,2,11,,,,,,,This is the reason,,,
30,Text,Standard,2,11,,,,,,,Yes,,,
31,Text,Standard,2,11,,,,,,,No,,,
32,Rectangle,,2,11,,,,,,,Inverter Trips (0W),,COLUMN,ROW
33,Rectangle,,2,11,,,,,,,Performance of each inverter compared to others,,COLUMN,ROW
34,Diamond,,2,11,,,,,,,Temperature spikes,,COLUMN,ROW
38,Diamond,,2,11,,,,,,,if the inverters are following POA,,,
39,Rectangle,,2,11,,,,,,,Normal Behavior,,,
40,Text,Standard,2,11,,,,,,,YES,,,
41,Text,Standard,2,11,,,,,,,NO,,,
42,Rectangle,,2,11,,,,,,,wait for nexr data update (5 minutes),,,
43,Diamond,,2,11,,,,,,,If error is there for more than 20 mins,,,
44,Rectangle,,2,11,,,,,,,Report Communication  problem,,,
45,Text,Standard,2,11,,,,,,,YES,,,
46,Text,Standard,2,11,,,,,,,NO,,,
48,Diamond,,2,11,,,,,,,if internal Temp >60°C,,,
49,Text,Standard,2,11,,,,,,,NO,,,
50,Rectangle,,2,11,,,,,,,Report Inverter Thermal problem - Inverter Cooling/Fan Hardware Failure,,,
51,Diamond,,2,11,,,,,,,If ambiant temperature high,,,
52,Text,Standard,2,11,,,,,,,YES,,,
53,Diamond,,2,11,,,,,,,Maintenance,,COLUMN,ROW
54,Rectangle,,2,11,,,,,,,Normal Behavior,,,
55,Text,Standard,2,11,,,,,,,NO,,,
56,Rectangle,,2,11,,,,,,,Possible Weather/Derating Issue,,,
57,Text,Standard,2,11,,,,,,,YES,,,
58,Text,Standard,2,11,,,,,,,YES,,,
59,Text,Standard,2,11,,,,,,,No,,,
60,Text,Standard,2,11,,,,,,,YES,,,
61,Text,Standard,2,11,,,,,,,YES,,,
62,Text,Standard,2,11,,,,,,,YES,,,
63,Diamond,,2,11,,,,,,,POA is high,,,
64,Rectangle,,2,11,,,,,,,Report Thermal Derating problem,,,
65,Text,Standard,2,11,,,,,,,YES,,,
66,Text,Standard,2,11,,,,,,,YES,,,
67,Diamond,,2,11,,,,,,,Check if Trackers are working fine,,,
68,Text,Standard,2,11,,,,,,,YES,,,
69,Text,Standard,2,11,,,,,,,NO,,,
70,Diamond,,2,11,,,,,,,All strings are working fine,,,
71,Diamond,,2,11,,,,,,,All temperatures are fine,,,
72,Rectangle,,2,11,,,,,,,Report Low Power in inverter problem,,,
73,Text,Standard,2,11,,,,,,,NO,,,
74,Text,Standard,2,11,,,,,,,NO,,,
75,Diamond,,2,11,,,,,,,Check if this inverter has less strings,,,
76,Text,Standard,2,11,,,,,,,NO,,,
77,Diamond,,2,11,,,,,,,if it is early morning or late evening,,,
78,Text,Standard,2,11,,,,,,,YES,,,
87,Line,,2,,,32,12,Equilateral Arrow,None,,,,,
88,Line,,2,,,33,12,Equilateral Arrow,None,,,,,
89,Line,,2,,,13,12,Equilateral Arrow,None,,,,,
90,Line,,2,,,32,27,None,Equilateral Arrow,,,,,
99,Line,,2,,,26,12,Equilateral Arrow,None,,,,,
100,Line,,2,,,14,12,Equilateral Arrow,None,,,,,
101,Line,,2,,,27,28,None,Equilateral Arrow,,,,,
102,Line,,2,,,27,29,None,Equilateral Arrow,,,,,
103,Line,,2,,,28,12,None,Equilateral Arrow,,,,,
104,Line,,2,,,12,34,None,Equilateral Arrow,,,,,
106,Line,,2,,,26,38,None,Equilateral Arrow,,,,,
107,Line,,2,,,38,39,None,Equilateral Arrow,,,,,
108,Line,,2,,,38,70,None,Equilateral Arrow,,,,,
109,Line,,2,,,14,42,None,Equilateral Arrow,,,,,
110,Line,,2,,,42,43,None,Equilateral Arrow,,,,,
111,Line,,2,,,43,44,None,Equilateral Arrow,,,,,
112,Line,,2,,,43,39,None,Equilateral Arrow,,,,,
113,Line,,2,,,34,48,None,Equilateral Arrow,,,,,
114,Line,,2,,,51,48,Equilateral Arrow,None,,,,,
115,Line,,2,,,48,112,None,Equilateral Arrow,,,,,
116,Line,,2,,,51,50,None,Equilateral Arrow,,,,,
117,Line,,2,,,13,27,None,Equilateral Arrow,,,,,
118,Line,,2,,,32,53,None,Equilateral Arrow,,,,,
119,Line,,2,,,53,54,None,Equilateral Arrow,,,,,
120,Line,,2,,,54,28,None,Equilateral Arrow,,,,,
121,Line,,2,,,51,56,None,Equilateral Arrow,,,,,
122,Line,,2,,,53,27,None,Equilateral Arrow,,,,,
123,Line,,2,,,48,63,None,Equilateral Arrow,,,,,
124,Line,,2,,,63,64,None,Equilateral Arrow,,,,,
125,Line,,2,,,26,67,None,Equilateral Arrow,,,,,
126,Line,,2,,,67,39,None,Equilateral Arrow,,,,,
127,Line,,2,,,67,70,None,Equilateral Arrow,,,,,
128,Line,,2,,,70,71,None,Equilateral Arrow,,,,,
129,Line,,2,,,75,72,None,Equilateral Arrow,,,,,
130,Line,,2,,,71,75,None,Equilateral Arrow,,,,,
131,Line,,2,,,77,26,Equilateral Arrow,None,,,,,
132,Line,,2,,,77,107,None,Equilateral Arrow,,,,,